,Grads,CCR,PCT,,,,,,,,,Summing,,,
All,6106,3872,0.6341303636,,,,,,,,,,Grads,CCR,
Free/Red,3310,1732,0.5232628399,,,,,,,,,All,5848,3816,0.6525307798
NotFree/Red,2796,2140,0.765379113,,25 percentage points less likely to be college and career ready. ,,,,,,,Free,3155,1706,0.5407290016
,,,,,,,,,,,,Not,2693,2110,0.783512811
Graduation 4- year,,,,,,,,,,,,,,,
,Grads,Total,,,,,,,,,,,,,
All,5984,7472,0.800856531,,,,,,,,,,,,
Free/Red,3251,3958,0.8213744315,,,,,,,,,,,,
NotFree/Red,2733,3514,0.7777461582,,,,,,,,,,,,
